Category,Treatment,Area,Single Price,Pack Quantity,Package Price,Per Treatment in Package,Savings
Face,Carbon Peel,Face,$170,3,$408,$136,$102
Face,Carbon Peel,Face and Neck,$250,3,$600,$200,$150
Face,Carbon Peel,"Face, Neck and Decolletage",$300,3,$720,$240,$180
Face,Carbon Peel,Back,$500,3,"$1,200",$400,$300
Body,EMS for muscle gain,1 area,$140,6,$672,$112,$168
Body,EMS for muscle gain,2 areas,$210,6,"$1,008",$168,$252
Body,EMS for muscle gain,3 areas,$280,6,"$1,344",$224,$336
Body,EMS for muscle gain,4 areas,$350,6,"$1,680",$280,$420
Body,EMS Pelvic Floor,Pelvic Floor,$140,6,$672,$112,$168
Body/Face,Fibroblast,Skin tag and wart removal,From $70,,,,
Body/Face,Fibroblast,Wrinkles,From $100,,,,
Body/Face,Fibroblast,Under eye,$300,,,,
Body/Face,Fibroblast,Belly button lift,$300,,,,
Body/Face,Fibroblast,Crows feet,$300,,,,
Body/Face,Fibroblast,Blepharoplasty,$300,,,,
Body/Face,Fibroblast,Lip flip,$300,,,,
Body/Face,Fibroblast,Forehead,$400,,,,
Body/Face,Fibroblast,Eyebrow lift,$300,,,,
Body/Face,Fibroblast,Marionette lines,$300,,,,
Body/Face,Fibroblast,Smoker lines,$300,,,,
Body/Face,Fibroblast,Neck,$500,,,,
Body/Face,Fibroblast,Tummy tightening,"$1,000",,,,
Body/Face,Fibroblast,Pigmentation removal,From $70,,,,
Face,RF Needling,Face,$270,3,$648,$216,$162
Face,RF Needling,Face and Neck,$300,3,$720,$240,$180
Face,RF Needling,"Face, Neck and Decolletage",$350,3,$840,$280,$210
Face,RF Needling,Abdomen,$350,3,$840,$280,$210
Face,RF Needling,Stretch marks (from),$200,3,$480,$160,$120
Face,HIFU,Neck,$500,3,"$1,200",$400,$300
Face,HIFU,Double chin *,$300,3,$720,$240,$180
Face,HIFU,Eyebrow lift,$200,3,$480,$160,$120
Face,HIFU,Face,"$1,000",3,"$2,400",$800,$600
Face,HIFU,Face and Neck,"$1,300",3,"$3,120","$1,040",$780
Face,HIFU,"Face, Neck and Decolletage","$1,700",3,"$4,080","$1,360","$1,020"
Face,HIFU,Stomach,"$1,000",3,"$2,400",$800,$600
Face,Hydrodermabrasion,Face,$160,3,$384,$128,$96
Face,Hydrodermabrasion,Face and Neck,$190,3,$456,$152,$114
Face,Hydrodermabrasion,"Face, Neck and Decolletage",$220,3,$528,$176,$132
Body,Kumashape,Saddle bags,$120,6,$576,$96,$144
Body,Kumashape,Love handles,$120,6,$576,$96,$144
Body,Kumashape,Butt,$120,6,$576,$96,$144
Body,Kumashape,Stomach,$150,6,$720,$120,$180
Body,Kumashape,Leg front,$170,6,$816,$136,$204
Body,Kumashape,Leg back,$170,6,$816,$136,$204
Face,Medi Peels 5 Berry and TCA,Face,$170,3,$408,$136,$102
Face,Medi Peels 5 Berry and TCA,Face and Neck,$200,3,$480,$160,$120
Face,Medi Peels 5 Berry and TCA,"Face, Neck and Decolletage",$230,3,$552,$184,$138
Face,Medi Peels 5 Berry and TCA,Back,$350,3,$840,$280,$210
Face,Medi Peels Vit A,Face,$120,3,$288,$96,$72
Face,Medi Peels Vit A,Face and Neck,$150,3,$360,$120,$90
Face,Medi Peels Vit A,"Face, Neck and Decolletage",$180,3,$432,$144,$108
Face,Medi Peels Vit A,Back,$210,3,$504,$168,$126
Face,Medi Peels Tretinoin,Back,$350,3,$840,$280,$210
Face,Medi Peels Tretinoin,Face,$170,3,$408,$136,$102
Face,Medi Peels Tretinoin,Face and Neck,$200,3,$480,$160,$120
Face,Medi Peels Tretinoin,"Face, Neck and Decolletage",$230,3,$552,$184,$138
Face,Microdermabrasion,Face,$100,3,$240,$80,$60
Face,Microdermabrasion,Face and Neck,$130,3,$312,$104,$78
Face,Microdermabrasion,"Face, neck and deccoletage",$160,3,$384,$128,$96
Face,Microneedling,Face,$220,3,$528,$176,$132
Face,Microneedling,Face and Neck,$270,3,$648,$216,$162
Face,Microneedling,"Face, Neck and Decolletage",$300,3,$720,$240,$180
Face,Microneedling,Stretch marks,$190,3,$456,$152,$114
Face,Microneedling,Add on peel,$60,3,$144,$48,$36
Body/Face,Radio Frequency,Face,$120,6,$576,$96,$144
Body/Face,Radio Frequency,Neck,$90,6,$432,$72,$108
Body/Face,Radio Frequency,Face and Neck,$150,6,$720,$120,$180
Body/Face,Radio Frequency,"Face, Neck and Decolletage",$180,6,$864,$144,$216
Body/Face,Radio Frequency,Body,$180,6,$864,$144,$216
Body,Tattoo Removal,100 cm2,$170,,,,
Body,Tattoo Removal,150 cm2,$240,,,,
Body,Tattoo Removal,20 cm2,$100,,,,
Body,Tattoo Removal,300 cm2,$320,,,,
Body,Tattoo Removal,4 cm2,$50,,,,
Body,Tattoo Removal,400 cm2,$380,,,,
Body,Tattoo Removal,50 cm2,$130,,,,
Body,Tattoo Removal,600 cm2,$580,,,,
Face,Tattoo Removal,Eyebrow *,$130,,,,
Face,Tattoo Removal with Saline Solution,Eyebrow,$200,,,,
Face,Zena Algae Peel,Face,$350,3,$840,$280,$210
Face,Zena Algae Peel,Face and Neck,$400,3,$960,$320,$240
Face,Zena Algae Peel,"Face, Neck and Decolletage",$500,3,"$1,200",$400,$300
Face,Zena Algae Peel,Back,$350,3,$840,$280,$210
Face,Laser Rejuvenation,Face,$170,6,$816,$136,$204
Face,Laser Rejuvenation,Face and Neck,$255,6,"$1,224",$204,$306
Face,Laser Rejuvenation,"Face, Neck and Decolletage",$340,6,"$1,632",$272,$408
Body,Laser Rejuvenation,Body,$170,6,$816,$136,$204
Face,Pico Laser Pigmentation,Face,$170,6,$816,$136,$204
Face,Pico Laser Pigmentation,Face and Neck,$255,6,"$1,224",$204,$306
Face,Pico Laser Pigmentation,"Face, Neck and Decolletage",$340,6,"$1,632",$272,$408
Face,Pico Laser Pigmentation,Hands,$150,6,$720,$120,$180
Body,Laser for nail fungus,Per nail,$70,4,$224,$56,$56
